,Index,Node,Nbr_Node,Nbr_Count,Hello_Cnt,AODV_Msg_Nbr_Cnt,RREQs_Sent_To_Nbr,RREQs_From_Nbr,Nbr_Never_Sends_RREQ,Nbr_Is_Orig_Cnt,Nbr_Never_Orig,Nbr_Is_Dest_Cnt,Nbr_Never_Dest,All_RREPs_Rcvd_This_Node,RREPs_From_Nbr,RREP_Resp_Pct,Pct_Of_All_RREPs,Hop_Cnt_Over_1_Cnt,Hop_Cnt_Over_1_Pct,High_Dest_Seq_Num_Inc_Cnt,High_Dest_Seq_Num_Inc_Pct,Avg_Resp_Dly,Avg_Resp_Dly_Per_Hop,RERRs_From_Nbr,RERRs_From_Nbr_Pct,Pct_of_All_Nbrs,RREP_To_Nbrs_Ratio,Black_Hole_Node
441,442,10.1.1.5,10.1.1.21,42,19,0,136,0,TRUE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
442,443,10.1.1.5,10.1.1.48,42,12,0,136,0,TRUE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
443,444,10.1.1.5,10.1.1.49,42,13,0,136,0,TRUE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
444,445,10.1.1.5,10.1.1.50,42,8,0,136,0,TRUE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
445,446,10.1.1.5,10.1.1.32,42,22,4,136,4,FALSE,0,TRUE,0,TRUE,447,0,0,0,0,,0,,,,0,,2.38,0,FALSE
446,447,10.1.1.5,10.1.1.47,42,5,72,136,32,FALSE,0,TRUE,0,TRUE,447,36,26.47,8.05,14,38.89,0,0,2.003913861,0.815869499,4,11.11,2.38,3.382352941,FALSE
447,448,10.1.1.5,10.1.1.17,42,6,106,136,41,FALSE,22,FALSE,0,TRUE,447,38,27.94,8.5,9,23.68,0,0,2.249280658,0.893395515,27,71.05,2.38,3.571428571,FALSE
448,449,10.1.1.5,10.1.1.22,42,16,35,136,26,FALSE,0,TRUE,0,TRUE,447,3,2.21,0.67,2,66.67,0,0,2.002772333,0.401177911,6,200,2.38,0.281512605,FALSE
449,450,10.1.1.5,10.1.1.31,42,7,44,136,18,FALSE,0,TRUE,0,TRUE,447,15,11.03,3.36,14,93.33,0,0,3.086657933,0.515922723,11,73.33,2.38,1.411764706,FALSE
450,451,10.1.1.5,10.1.1.23,42,0,10,136,7,FALSE,0,TRUE,0,TRUE,447,1,0.74,0.22,0,0,0,0,0.013223,0.0066115,2,200,2.38,0.092436975,FALSE
451,452,10.1.1.6,10.1.1.33,43,46,20,225,3,FALSE,0,TRUE,0,TRUE,360,14,6.22,3.89,10,71.43,0,0,3.235556357,0.390687227,3,21.43,2.33,1.669527897,FALSE
452,453,10.1.1.6,10.1.1.9,43,10,0,225,0,TRUE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
453,454,10.1.1.6,10.1.1.17,43,3,34,225,12,FALSE,2,FALSE,0,TRUE,360,5,2.22,1.39,4,80,0,0,0.3441974,0.080576667,17,340,2.33,0.596566524,FALSE
454,455,10.1.1.6,10.1.1.49,43,45,83,225,35,FALSE,0,TRUE,0,TRUE,360,29,12.89,8.06,18,62.07,0,0,3.000823931,0.734769152,19,65.52,2.33,3.459227468,FALSE
455,456,10.1.1.6,10.1.1.14,43,23,11,225,11,FALSE,6,FALSE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
456,457,10.1.1.6,10.1.1.10,43,31,0,225,0,TRUE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
457,458,10.1.1.6,10.1.1.43,43,29,0,225,0,TRUE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
458,459,10.1.1.6,10.1.1.15,43,18,114,225,87,FALSE,18,FALSE,0,TRUE,360,15,6.67,4.17,9,60,0,0,1.745480867,0.409854712,12,80,2.33,1.789699571,FALSE
459,460,10.1.1.6,10.1.1.7,43,145,298,225,202,FALSE,0,TRUE,0,TRUE,360,65,28.89,18.06,34,52.31,0,0,2.045104138,0.6518381,31,47.69,2.33,7.751072961,FALSE
460,461,10.1.1.6,10.1.1.29,43,16,24,225,10,FALSE,0,TRUE,0,TRUE,360,4,1.78,1.11,3,75,0,0,2.214667,0.230950948,10,250,2.33,0.47639485,FALSE
461,462,10.1.1.6,10.1.1.8,43,17,0,225,0,TRUE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
462,463,10.1.1.6,10.1.1.36,43,24,0,225,0,TRUE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
463,464,10.1.1.6,10.1.1.35,43,3,0,225,0,TRUE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
464,465,10.1.1.6,10.1.1.28,43,38,96,225,87,FALSE,0,TRUE,0,TRUE,360,4,1.78,1.11,0,0,0,0,0.2514965,0.126332,5,125,2.33,0.47639485,FALSE
465,466,10.1.1.6,10.1.1.46,43,12,5,225,5,FALSE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
466,467,10.1.1.6,10.1.1.26,43,12,0,225,0,TRUE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
467,468,10.1.1.6,10.1.1.38,43,11,0,225,0,TRUE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
468,469,10.1.1.6,10.1.1.34,43,6,26,225,20,FALSE,0,TRUE,0,TRUE,360,2,0.89,0.56,2,100,0,0,1.4595605,0.152005533,4,200,2.33,0.240343348,FALSE
469,470,10.1.1.6,10.1.1.5,43,7,45,225,22,FALSE,0,TRUE,0,TRUE,360,19,8.44,5.28,19,100,0,0,4.016754474,0.644545902,4,21.05,2.33,2.266094421,FALSE
470,471,10.1.1.6,10.1.1.47,43,20,0,225,0,TRUE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
471,472,10.1.1.6,10.1.1.2,43,6,22,225,11,FALSE,2,FALSE,0,TRUE,360,8,3.56,2.22,6,75,0,0,1.53077975,0.162575969,3,37.5,2.33,0.9527897,FALSE
472,473,10.1.1.6,10.1.1.3,43,26,0,225,0,TRUE,0,TRUE,0,TRUE,225,225,100,100,0,0,225,100,,,0,0,2.33,42.91845494,TRUE
473,474,10.1.1.6,10.1.1.31,43,26,0,225,0,TRUE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
474,475,10.1.1.6,10.1.1.39,43,25,0,225,0,TRUE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
475,476,10.1.1.6,10.1.1.44,43,29,79,225,69,FALSE,0,TRUE,0,TRUE,360,3,1.33,0.83,0,0,0,0,5.755342667,2.877671333,7,233.33,2.33,0.356223176,FALSE
476,477,10.1.1.6,10.1.1.4,43,12,0,225,0,TRUE,0,TRUE,0,TRUE,225,225,100,100,0,0,225,100,,,0,0,2.33,42.91845494,TRUE
477,478,10.1.1.6,10.1.1.30,43,14,12,225,12,FALSE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
478,479,10.1.1.6,10.1.1.48,43,31,0,225,0,TRUE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
479,480,10.1.1.6,10.1.1.32,43,10,0,225,0,TRUE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,0,,2.33,0,FALSE
480,481,10.1.1.6,10.1.1.50,43,25,42,225,40,FALSE,0,TRUE,0,TRUE,360,0,0,0,0,,0,,,,2,,2.33,0,FALSE
